train_dataset,test_dataset,detector,train_size,test_size,accuracy,precision,recall,f1,macro_precision,macro_recall,macro_f1,roc_auc
original_cleaned_global_ai_vs_human,raid_quick_subset,TF-IDF Char LR,6406,1000,0.461,0.4084507042253521,0.174,0.24403927068723702,0.44183653381534443,0.46099999999999997,0.41261792594190916,0.423632
original_cleaned_global_ai_vs_human,raid_quick_subset,Hybrid TF-IDF + Stylometric LR,6406,1000,0.414,0.23125,0.074,0.11212121212121212,0.3400297619047619,0.414,0.33740388964269563,0.148888
original_cleaned_global_ai_vs_human,raid_quick_subset,Stylometric LR,6406,1000,0.5,0.0,0.0,0.0,0.25,0.5,0.3333333333333333,0.084952
original_cleaned_global_ai_vs_human,raid_quick_subset,TF-IDF Word SVM,6406,1000,0.487,0.49341438703140833,0.974,0.6550100874243443,0.24670719351570417,0.487,0.32750504371217215,0.27923600000000004
original_cleaned_global_ai_vs_human,raid_quick_subset,Saved Epoch TF-IDF SGD,6406,1000,0.454,0.475635593220339,0.898,0.6218836565096952,0.28246065375302665,0.454,0.3199346340102433,0.34348399999999996
original_cleaned_global_ai_vs_human,raid_quick_subset,TF-IDF Word LR,6406,1000,0.463,0.48074921956295524,0.924,0.6324435318275154,0.25319512260199045,0.463,0.318077053483331,0.27417199999999997
