split,model,train_size,test_size,seconds,accuracy,precision,recall,f1,roc_auc
random,Frozen DistilRoBERTa Embedding LR,3000.0,961,22.16,0.5119667013527576,0.5182926829268293,0.5236139630390144,0.5209397344228804,0.5171375596738839
random,Frozen DistilRoBERTa + Stylometric LR,3000.0,961,23.55,0.5067637877211238,0.5129740518962076,0.5277207392197125,0.520242914979757,0.5170162624871122
prompt_grouped,Frozen DistilRoBERTa Embedding LR,3000.0,1212,22.94,0.5082508250825083,0.5251141552511416,0.548489666136725,0.536547433903577,0.5080922916660986
prompt_grouped,Frozen DistilRoBERTa + Stylometric LR,3000.0,1212,25.51,0.5206270627062707,0.5362537764350453,0.5643879173290938,0.5499612703330752,0.50780323255351
challenge,Frozen DistilRoBERTa Embedding LR,,20,,0.3,0.16666666666666666,0.1,0.125,0.29
