model,train_dataset,test_dataset,accuracy,precision,recall,f1,roc_auc
M1_Word_TFIDF_LogReg,raid,raid,0.8698727015558698,0.9142857142857143,0.8158640226628895,0.8622754491017964,0.9516973159840592
M2_Char_TFIDF_LinearSVM,raid,raid,0.9533239038189534,0.9624277456647399,0.943342776203966,0.9527896995708155,0.9905251196363694
M3_Stylometric_RandomForest,raid,raid,0.8769448373408769,0.934640522875817,0.8101983002832861,0.8679817905918058,0.9555384836990446
M4_Hybrid_TFIDF_Stylometric,raid,raid,0.9490806223479491,0.9788519637462235,0.9178470254957507,0.9473684210526315,0.9890366671468126
