model,train_dataset,test_dataset,accuracy,precision,recall,f1,roc_auc
M1_Word_TFIDF_LogReg,semeval,semeval,0.9021315884548995,0.9003342188705116,0.8917748917748918,0.8960341151385928,0.9665422327623843
M2_Char_TFIDF_LinearSVM,semeval,semeval,0.943037212476416,0.9417633015006821,0.9375265257618198,0.9396401378195585,0.9878975745021175
M3_Stylometric_RandomForest,semeval,semeval,0.8413953675083297,0.8407903899721448,0.8198794669382905,0.8302032747432206,0.9191341306076309
M4_Hybrid_TFIDF_Stylometric,semeval,semeval,0.9475332182569949,0.9483732876712329,0.9402427637721755,0.9442905247005668,0.9893126416714071
