model,train_dataset,test_dataset,accuracy,precision,recall,f1,roc_auc
M1_Word_TFIDF_LogReg,semeval,raid,0.7991513437057991,0.8459016393442623,0.7308781869688386,0.78419452887538,0.8454890286647141
M2_Char_TFIDF_LinearSVM,semeval,raid,0.809052333804809,0.8811188811188811,0.7138810198300283,0.7887323943661971,0.8374065715977655
M3_Stylometric_RandomForest,semeval,raid,0.7298444130127298,0.697560975609756,0.8101983002832861,0.7496723460026212,0.777468350378515
M4_Hybrid_TFIDF_Stylometric,semeval,raid,0.8033946251768034,0.8821428571428571,0.6997167138810199,0.7804107424960506,0.8340215425489349
M1_Word_TFIDF_LogReg,raid,semeval,0.57211673557866,0.5381217722207121,0.6721840251252016,0.5977280446843038,0.6220266370528456
M2_Char_TFIDF_LinearSVM,raid,semeval,0.5934727630364096,0.6149569085348902,0.37551990493166965,0.4662977602108037,0.6407008897399114
M3_Stylometric_RandomForest,raid,semeval,0.5241459596162338,0.49731834545588127,0.5745692216280451,0.5331600504095778,0.5358694402084037
M4_Hybrid_TFIDF_Stylometric,raid,semeval,0.49435992131989887,0.46909366704588545,0.5249978779390544,0.4954738444284226,0.45488927043964905
